0.4618352672074258_cycle,0.4618352672074258_fM1,0.473_cycle,0.473_fM1,0.482_cycle,0.482_fM1,0.502_cycle,0.502_fM1,0.53_cycle,0.53_fM1,0.584_cycle,0.584_fM1,0.778_cycle,0.778_fM1,0.909_cycle,0.909_fM1
0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337,0,0.33333333333333337
1,0.392499809746018,1,0.397141874510570,1,0.400845330699503,1,0.408947290424904,1,0.419979573211413,1,0.440166279876000,1,0.500083153433136,1,0.530056371415422
2,0.438091246851938,2,0.446771301626083,2,0.453716517503450,2,0.468980327371497,2,0.489943418800630,2,0.528976117737165,2,0.653110161777432,2,0.722033695237556
3,0.464555457523627,3,0.475579217128130,3,0.484392156804981,3,0.503734234221626,3,0.530230217285236,3,0.579311364625898,3,0.732582173398044,3,0.815548544734643
4,0.480704727927250,4,0.493147183576678,4,0.503089172749282,4,0.524888660614201,4,0.554689609913209,4,0.609613634674030,4,0.776733647599608,4,0.863173500449539
5,0.491053605802857,5,0.504403638994884,5,0.515071888605858,5,0.538463350546587,5,0.570425257337818,5,0.629189144325175,5,0.804214352300392,5,0.890490902164157
6,0.497960316292290,6,0.511918752604141,6,0.523078584995475,6,0.547562304449595,6,0.581038298574906,6,0.642569404042888,6,0.822981272269575,6,0.907921482150403
7,0.502725975490149,7,0.517108114264800,7,0.528614168958250,7,0.553879707868329,7,0.588468140718466,7,0.652115119085878,7,0.836694119380930,,
8,0.506107176332610,8,0.520794156972718,8,0.532552077855053,8,0.558395595372965,8,0.593828606293591,8,0.659153446702195,8,0.847218798570143,,
9,0.508563632621058,9,0.523476475744110,9,0.535422848275450,9,0.561705098940430,9,0.597794982604804,9,0.664481009848147,9,0.855597322479108,,
10,0.510384957587585,10,0.525469787999095,10,0.537560832925480,10,0.564183951578553,10,0.600794761977976,10,0.668601982930002,10,0.862456345250400,,
11,0.511759240651876,11,0.526978429622105,11,0.539183231906988,11,0.566076921036366,11,0.603107997146385,11,0.671849202085087,11,0.868195832203470,,
12,0.512811912154716,12,0.528138562023843,12,0.540434826063590,12,0.567547647964131,12,0.604923272479740,12,0.674449911207163,12,0.873083645646976,,
13,0.513628626571494,13,0.529043043985951,13,0.541414345548454,13,0.568707998479480,13,0.606370496651916,13,0.676563515158741,13,0.877306384330643,,
14,0.514269163878519,14,0.529756563559354,14,0.542190531897805,14,0.569635980210005,14,0.607540911314508,14,0.678304321385009,14,0.880998356638029,,
15,0.514776097780803,15,0.530325089049111,15,0.542812187345774,15,0.570386997775229,15,0.608499710086371,15,0.679755805775318,15,0.884258927392204,,
16,0.515180323574831,16,0.530781904055807,16,0.543314603782527,16,0.571001092022234,16,0.609294213773698,16,0.680979873434333,16,0.887163348136924,,
17,0.515504654758547,17,0.531151536545125,17,0.543723754998735,17,0.571507687958400,17,0.609959284097519,17,0.682023046311077,17,0.889769766020053,,
18,0.515766206952626,18,0.531452362190333,18,0.544059077364094,18,0.571928761202468,18,0.610520974246262,18,0.682920698982182,18,0.892123902546082,,
19,0.515978006261691,19,0.531698358073175,19,0.544335343541725,19,0.572280981209123,19,0.610999028327946,19,0.683700017969781,19,0.894262262441876,,
20,0.516150093280479,20,0.531900303117616,20,0.544563944268143,20,0.572577181781273,20,0.611408615394660,20,0.684382105000278,20,0.896214387290797,,
